2023-10-15 09:04:54,304 Model 1, rep:8, n:53425, nind:55, iters:0
2023-10-15 09:04:54,581 Model 1, rep:1, n:22728, nind:26, iters:0
2023-10-15 09:04:55,810 Model 1, rep:4, n:96824, nind:96, iters:0
2023-10-15 09:04:55,883 Model 1, rep:9, n:6851, nind:11, iters:0
2023-10-15 09:04:57,454 Model 1, rep:6, n:69303, nind:70, iters:0
2023-10-15 09:04:59,341 Model 1, rep:12, n:37547, nind:40, iters:0
2023-10-15 09:05:00,627 Model 1, rep:10, n:6851, nind:11, iters:0
2023-10-15 09:05:02,548 Model 1, rep:5, n:82005, nind:82, iters:0
2023-10-15 09:05:05,044 Model 1, rep:11, n:6851, nind:11, iters:0
2023-10-15 09:05:09,041 Model 1, rep:12, n:6851, nind:11, iters:0
2023-10-15 09:05:09,501 Model 1, rep:2, n:22728, nind:26, iters:0
2023-10-15 09:05:13,263 Model 1, rep:13, n:6851, nind:11, iters:0
2023-10-15 09:05:17,461 Model 1, rep:14, n:6851, nind:11, iters:0
2023-10-15 09:05:21,474 Model 1, rep:15, n:6851, nind:11, iters:0
2023-10-15 09:05:22,238 Model 1, rep:13, n:37547, nind:40, iters:0
2023-10-15 09:05:23,581 Model 1, rep:3, n:22728, nind:26, iters:0
2023-10-15 09:05:26,063 Model 1, rep:16, n:6851, nind:11, iters:0
2023-10-15 09:05:28,412 Model 1, rep:9, n:53425, nind:55, iters:0
2023-10-15 09:05:30,518 Model 1, rep:17, n:6851, nind:11, iters:0
2023-10-15 09:05:33,855 Model 1, rep:5, n:90473, nind:90, iters:0
2023-10-15 09:05:35,016 Model 1, rep:18, n:6851, nind:11, iters:0
2023-10-15 09:05:38,382 Model 1, rep:4, n:22728, nind:26, iters:0
2023-10-15 09:05:39,567 Model 1, rep:19, n:6851, nind:11, iters:0
2023-10-15 09:05:41,397 Model 1, rep:7, n:69303, nind:70, iters:0
2023-10-15 09:05:44,702 Model 1, rep:0, n:7909, nind:12, iters:0
2023-10-15 09:05:46,877 Model 1, rep:14, n:37547, nind:40, iters:0
2023-10-15 09:05:50,006 Model 1, rep:1, n:7909, nind:12, iters:0
2023-10-15 09:05:53,550 Model 1, rep:5, n:22728, nind:26, iters:0
2023-10-15 09:05:54,942 Model 1, rep:6, n:82005, nind:82, iters:0
2023-10-15 09:05:55,462 Model 1, rep:2, n:7909, nind:12, iters:0
2023-10-15 09:05:58,275 Model 1, rep:5, n:96824, nind:96, iters:0
2023-10-15 09:06:00,796 Model 1, rep:3, n:7909, nind:12, iters:0
2023-10-15 09:06:03,724 Model 1, rep:10, n:53425, nind:55, iters:0
2023-10-15 09:06:06,010 Model 1, rep:4, n:7909, nind:12, iters:0
2023-10-15 09:06:09,174 Model 1, rep:6, n:22728, nind:26, iters:0
2023-10-15 09:06:11,124 Model 1, rep:5, n:7909, nind:12, iters:0
2023-10-15 09:06:12,354 Model 1, rep:15, n:37547, nind:40, iters:0
2023-10-15 09:06:16,235 Model 1, rep:6, n:7909, nind:12, iters:0
2023-10-15 09:06:21,418 Model 1, rep:7, n:7909, nind:12, iters:0
